Qiitaly Third-Party Library Licenses

Scope:
- Gradle configuration `:composeApp:releaseRuntimeClasspath`
- Gradle configuration `:composeApp:iosArm64CompileKlibraries`
- Gradle configuration `:composeApp:iosSimulatorArm64CompileKlibraries`

Generated: 2026-04-29

Notes:
- Test-only, debug-only, and annotation-processor-only dependencies are not included.
- Android/JVM/iOS platform variants are grouped with their base library.
- License names and URLs are taken from Maven POM metadata or packaged license files.

| Library / Artifact group | Resolved version(s) | License | License URL |
|---|---:|---|---|
| Accompanist DrawablePainter (`com.google.accompanist:accompanist-drawablepainter`) | 0.37.3 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Activity (`androidx.activity:*`) | 1.13.0 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Annotation (`androidx.annotation:*`) | 1.4.1, 1.9.1 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX AppCompat resources (`androidx.appcompat:appcompat-resources`) | 1.7.1 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Arch Core (`androidx.arch.core:*`) | 2.2.0 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Autofill (`androidx.autofill:autofill`) | 1.0.0 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Browser (`androidx.browser:browser`) | 1.9.0 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Collection (`androidx.collection:*`) | 1.5.0 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Compose Animation (`androidx.compose.animation:*`) | 1.10.5 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Compose Foundation (`androidx.compose.foundation:*`) | 1.10.5 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Compose Material (`androidx.compose.material:*`) | 1.7.6, 1.9.4 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
| AndroidX Compose Material3 (`androidx.compose.material3:*`) | 1.5.0-alpha08 | Apache License 2.0 | https://www.apache.org/licenses/LICENSE-2.0.txt |
